,0
0,Electronic Commerce Objectives
1,"Electronic Commerce Electronic Authentication, Electronic Signatures And Digital Certificates"
2,General And Final Provisions Disclosure Of Information
3,General Provisions Contact Points And Exchange Of Information
4,Electronic Commerce Domestic Regulatory Frameworks
5,Electronic Commerce Electronic Authentication
6,Electronic Commerce Electronic Signatures And Certification Services
7,Electronic Commerce Electronic Signatures And Certification Services
8,Electronic Commerce Consumer Protection
9,Other Provisions Exceptions
10,Electronic Commerce Personal Data Protection
11,General Provisions Security And Protection Exceptions
12,Protection Of Personal Data Consistency With International Commitments
13,Paperless Trading Co-Operation On Paperless Trading Between The Parties
14,Simplification And Harmonisation Of Trade Documents And Procedures Standardisation Of Trade Documents And Information
15,Customs Procedures Paperless Trading
16,Simplification And Harmonisation Of Trade Documents And Procedures Standardisation Of Trade Documents And Information
17,Co-Operation Electronic Commerce
18,Electronic Commerce Sub-Committee On Electronic Commerce
19,Co-Operation Areas And Forms Of Co-Operation
20,Competition Non-Application Of Chapter 17 (Consultations And Dispute Settlement)
21,Investments Expropriation
22,Investment Expropriation And Compensation 11-2
23,Initial Provisions And General Definitions Non-Discrimination
24,Investment Prudential Measures And
25,Government Procurement Exceptions To This Chapter
26,Investment National Treatment In Respect Of Covered Investments And Investors
27,Investment National Treatment In Respect Of The Establishment And Acquisition Of Investments
28,Trade In Goods General Exceptions Under Chapter 2
29,Investment Expropriation And Compensation 11-2
30,Investment National Treatment In Respect Of Covered Investments And Investors
31,Investment Prohibition Of Performance Requirements
32,Investment Fair And Equitable Treatment And Full Protection And Security
33,Investment Fair And Equitable Treatment And Full Protection And Security
34,Final Provisions Consultations On Inconsistencies With Other Agreements
35,Investment Losses And Compensation
36,Investment And Related Payments Transfers
37,Trade-Related Provisions Payments And Transfers
38,General And Final Provisions Transfers And Restrictions To Safeguard The Balance Of
39,Trade In Goods Restrictions To Safeguard The Balance Of Payments Under Chapter 2
40,Investment Expropriation And Nationalisation
41,Investment Expropriation And Compensation 11-2
42,Investment Expropriation And Compensation 11-2
43,Trade-Related Provisions Payments And Transfers
44,Intellectual Property Rights Exceptions And Exclusions
45,Investment Expropriation And Compensation 11-2
46,Investment General Treatment And Protection
47,Investment The Non-Disputing Party
48,Investment Exceptions From Dispute Settlement Procedure
49,Investment Conditions And Limitations On Consent Of Each Party
50,Investment Most Favoured Nation Treatment With Respect To The Promotion And Protection Of Investments
51,The Court Of Justice Reference By Legal And Natural Persons
52,Investment Most Favoured Nation Treatment With Respect To The Promotion And Protection Of Investments
53,Institutional And Procedural Provisions Provisional Measures
54,Competition Non-Application Of Paragraph 1 Of Article 5 And Chapter 14
55,Investment Reservations And Exceptions
56,General Provisions Succession Of International Agreements
57,General Provisions Cooperation On Increased Transparency
58,General Provisions And Exceptions Disclosure Of Information
59,"Transparency, Institutional Provisions, Exceptions And Final Provisions Entry Into Force"
60,General Provisions Contact Points And Exchange Of Information
61,General Provisions Cooperation On Increased Transparency
62,General Provisions Contact Points And Exchange Of Information
63,General Provisions Disclosure Of Confidential Information
64,Investment Access To The Judicial And Administrative Procedures
65,Administrative And Institutional Provisions Initiation Of Procedures
66,Dispute Settlement Procedures Common Provisions Regarding The Panel Rulings
67,General Provisions Review And Appeal
68,Investment National Treatment In Respect Of Covered Investments And Investors
69,Investment Disclosure Of Confidential Information
70,Investment Most Favoured Nation Treatment With Respect To The Promotion And Protection Of Investments
71,Trade In Services Modification Of Lists Of Reservations And Commitments
72,"Institutional, General And Final Provisions Modalities For The Continuation Of Negotiations"
73,Investment Term Of The Bilateral Investment Treaty
74,Final Provisions Reservations
75,Final Provisions Unilateral Reservations
76,Investment Committee On Investment
77,Investment Committee On Investment
78,Investment Sub-Committee On Investment
79,Investment Settlement Of Disputes Between A Party To This Chapter And Investor Of The Other Party To This Chapter
80,Investment Settlement Of Disputes Between A Party To This Chapter And Investor Of The Other Party To This Chapter
81,Investment Exceptions From Dispute Settlement Procedure
82,Movement Of Natural Persons Security Exceptions
83,Arbitration Procedure Appointment Of Arbitrators
84,Procedures For And Settlement Of Disputes Interim Report By The Arbitration Panel
85,Investment Constitution Of A Tribunal When A Party Fails To Appoint An Arbitrator Or The Disputing Parties Are Unable To Agree On A Presiding Arbitrator
86,Investment Settlement Of Disputes Between A Party To This Chapter And Investor Of The Other Party To This Chapter
87,Investment Settlement Of A Dispute Through Consultation And Negotiation
88,Investment Disputes Between An Investor And A Party
89,Investment Settlement Of A Claim Through Consultation And Negotiation
90,Investment Expropriation And Compensation 11-2
91,Investment The Non-Disputing Party
92,Investment Notice Of Intent To Submit A Claim To Arbitration
93,Arbitration Procedure General Provisions
94,Procedures For And Settlement Of Disputes Compliance With The Arbitration Panel Ruling
95,Investment Notice Of Intent To Submit A Claim To Arbitration
96,Investment Conditions Precedent To Submission Of A Claim To Arbitration
97,Investment Exceptions From Dispute Settlement Procedure
98,Bilateral Cooperation Non-Application Of Dispute Settlement Provisions
99,Investment Admissibility Of Claims
100,Dispute Settlement Establishment And Composition Of An Arbitral Tribunal
101,Dispute Settlement Qualifications Of The Arbitrators
102,Arbitration Procedure Appointment Of Arbitrators
103,Dispute Settlement Appointment Of Arbitral Tribunals
104,Dispute Settlement Award Of Arbitral Tribunals
