,chapter_cat,article_cat,clause_id
0,competition policy,Implementation,16
1,competition policy,Implementation,16
2,competition policy,Implementation,16
3,competition policy,Implementation,16
4,competition policy,Implementation,16
5,competition policy,Implementation,16
6,competition policy,Implementation,16
7,competition policy,Implementation,16
8,competition policy,Implementation,16
9,competition policy,Implementation,16
10,competition policy,Implementation,16
11,competition policy,Implementation,16
12,competition policy,Implementation,16
13,competition policy,Implementation,16
14,competition policy,Implementation,16
15,competition policy,Implementation,16
16,competition policy,Implementation,16
17,competition policy,Implementation,16
18,competition policy,Implementation,16
19,competition policy,Implementation,16
20,competition policy,Implementation,16
21,competition policy,Implementation,16
22,competition policy,Implementation,16
23,competition policy,Implementation,16
24,competition policy,Implementation,16
25,competition policy,Implementation,16
26,competition policy,Implementation,16
27,competition policy,Implementation,16
28,competition policy,Implementation,16
29,competition policy,Implementation,16
30,competition policy,Implementation,16
31,competition policy,Implementation,16
32,competition policy,Implementation,16
33,competition policy,Implementation,16
34,competition policy,Implementation,16
35,competition policy,Implementation,16
36,competition policy,Implementation,16
37,competition policy,Implementation,16
38,competition policy,Implementation,16
39,competition policy,Implementation,16
40,competition policy,Implementation,16
41,competition policy,Implementation,16
42,competition policy,Cooperation,7
43,competition policy,Cooperation,7
44,competition policy,Cooperation,7
45,competition policy,Cooperation,7
46,competition policy,Cooperation,7
47,competition policy,Cooperation,7
48,competition policy,Cooperation,7
49,competition policy,Cooperation,7
50,competition policy,Cooperation,7
51,competition policy,Cooperation,7
52,competition policy,Cooperation,7
53,competition policy,Cooperation,7
54,competition policy,Cooperation,7
55,competition policy,Cooperation,7
56,competition policy,Cooperation,7
57,competition policy,Cooperation,7
58,competition policy,Cooperation,7
59,competition policy,Cooperation,7
60,competition policy,Cooperation,7
61,competition policy,Cooperation,7
62,competition policy,Cooperation,7
63,competition policy,Cooperation,7
64,competition policy,Cooperation,7
65,competition policy,Cooperation,7
66,competition policy,Cooperation,7
67,competition policy,Cooperation,7
68,competition policy,Cooperation,7
69,competition policy,Cooperation,7
70,competition policy,Cooperation,7
71,competition policy,Cooperation,7
72,competition policy,Cooperation,7
73,competition policy,Cooperation,7
74,competition policy,Cooperation,7
75,competition policy,Cooperation,7
76,competition policy,Cooperation,7
77,competition policy,Cooperation,7
78,competition policy,Cooperation,7
79,competition policy,Cooperation,7
80,competition policy,Cooperation,7
81,competition policy,Cooperation,7
82,competition policy,Cooperation,7
83,competition policy,Cooperation,7
84,competition policy,Cooperation,7
85,competition policy,Cooperation,7
86,competition policy,Cooperation,7
87,competition policy,Cooperation,7
88,competition policy,Cooperation,7
89,competition policy,Cooperation,7
90,competition policy,Cooperation,7
91,competition policy,Cooperation,7
92,competition policy,Cooperation,7
93,competition policy,Cooperation,7
94,competition policy,Cooperation,7
95,competition policy,Cooperation,7
96,competition policy,Cooperation,7
97,competition policy,Cooperation,7
98,competition policy,Cooperation,7
99,competition policy,Cooperation,7
100,competition policy,Cooperation,7
101,competition policy,Cooperation,7
102,competition policy,Cooperation,7
103,competition policy,Cooperation,7
104,competition policy,Cooperation,7
105,competition policy,Cooperation,7
106,competition policy,Cooperation,7
107,competition policy,Cooperation,7
108,competition policy,Cooperation,7
109,competition policy,Cooperation,7
110,competition policy,Cooperation,7
111,competition policy,Cooperation,7
112,competition policy,Cooperation,7
113,competition policy,Cooperation,7
114,competition policy,Cooperation,7
115,competition policy,Cooperation,7
116,competition policy,Consultations,5
117,competition policy,Consultations,5
118,competition policy,Consultations,5
119,competition policy,Consultations,5
120,competition policy,Consultations,5
121,competition policy,Consultations,5
122,competition policy,Consultations,5
123,competition policy,Consultations,5
124,competition policy,Consultations,5
125,competition policy,Consultations,5
126,competition policy,Consultations,5
127,competition policy,Consultations,5
128,competition policy,Consultations,5
129,competition policy,Consultations,5
130,competition policy,Consultations,5
131,competition policy,Consultations,5
132,competition policy,Consultations,5
133,competition policy,Consultations,5
134,competition policy,Consultations,5
135,competition policy,Consultations,5
136,competition policy,Consultations,5
137,competition policy,Consultations,5
138,competition policy,Consultations,5
139,competition policy,Consultations,5
140,competition policy,Consultations,5
141,competition policy,Consultations,5
142,competition policy,Consultations,5
143,competition policy,Consultations,5
144,competition policy,Consultations,5
145,competition policy,Consultations,5
146,competition policy,Consultations,5
147,competition policy,Consultations,5
148,competition policy,Consultations,5
149,competition policy,Consultations,5
150,competition policy,Consultations,5
151,competition policy,Consultations,5
152,competition policy,Consultations,5
153,competition policy,Consultations,5
154,competition policy,Consultations,5
155,competition policy,Consultations,5
156,competition policy,Consultations,5
157,competition policy,Consultations,5
158,competition policy,Consultations,5
159,competition policy,Consultations,5
160,competition policy,Consultations,5
161,competition policy,Consultations,5
162,competition policy,Consultations,5
163,competition policy,Consultations,5
164,competition policy,Consultations,5
165,competition policy,Consultations,5
166,competition policy,Consultations,5
167,competition policy,Consultations,5
168,competition policy,Consultations,5
169,competition policy,Consultations,5
170,competition policy,Consultations,5
171,competition policy,Consultations,5
172,competition policy,Consultations,5
173,competition policy,Consultations,5
174,competition policy,Consultations,5
175,competition policy,Consultations,5
176,competition policy,Consultations,5
177,competition policy,Consultations,5
178,competition policy,Consultations,5
179,competition policy,Consultations,5
180,competition policy,Consultations,5
181,competition policy,Objectives,21
182,competition policy,Objectives,21
183,competition policy,Objectives,21
184,competition policy,Objectives,21
185,competition policy,Objectives,21
186,competition policy,Objectives,21
187,competition policy,Anti-Competitive Practices,1
188,competition policy,Anti-Competitive Practices,1
189,competition policy,Anti-Competitive Practices,1
190,competition policy,Anti-Competitive Practices,1
191,competition policy,Anti-Competitive Practices,1
192,competition policy,Anti-Competitive Practices,1
193,competition policy,Anti-Competitive Practices,1
194,competition policy,Anti-Competitive Practices,1
195,competition policy,Anti-Competitive Practices,1
196,competition policy,Anti-Competitive Practices,1
197,competition policy,Anti-Competitive Practices,1
198,competition policy,Anti-Competitive Practices,1
199,competition policy,Anti-Competitive Practices,1
200,competition policy,Anti-Competitive Practices,1
201,competition policy,Anti-Competitive Practices,1
202,competition policy,Anti-Competitive Practices,1
203,competition policy,Anti-Competitive Practices,1
204,competition policy,Anti-Competitive Practices,1
205,competition policy,Anti-Competitive Practices,1
