chapter_cat,article_cat,in_new_chapter,reassigned_article_cat,whole_chapter_move
trade in goods,Administrative Fees And Formalities,trade facilitation,Custom Finances,
trade in goods,Agricultural Safeguard Measures,trade remedies,Emergency Action,
trade in goods,Anti-Dumping,trade remedies,Anti-Dumping,
trade in goods,Bilateral Emergency Actions,trade remedies,Emergency Action,
trade in goods,Cooperation,trade facilitation,Cooperation,
trade in goods,Customs Cooperation,trade facilitation,Cooperation,
trade in goods,Customs Duties On Imports,trade facilitation,Custom Finances,
trade in goods,Customs User Fees,trade facilitation,Custom Finances,
trade in goods,Customs Valuation,trade facilitation,Custom Finances,
trade in goods,Dumped Or Subsidised Imports,trade remedies,Anti-Dumping,
trade in goods,Export Subsidies,competition policy,Non commercial Assistance,
trade in goods,Export Taxes,trade facilitation,Custom Finances,
trade in goods,Fees And Charges Connected With Importation And Exportation,trade facilitation,Custom Finances,
trade in goods,Fiscal Duties,trade facilitation,Custom Finances,
trade in goods,Geographical Indications,intellectual property rights,Geographical Indications,
trade in goods,Import Licensing,trade facilitation,Customs Processes,
trade in goods,Intellectual Property,,,intellectual property rights
trade in goods,Investigation,trade remedies,Investigation,
trade in goods,Monitoring,technical barriers to trade,Monitoring,
trade in goods,National Treatment,,,
trade in goods,Non-Tariff Measures,others,general ntm provisions,
trade in goods,Notification,trade remedies,Transparency,
trade in goods,Notifications And Consultations Procedure For The Application Of Measures,trade remedies,Transparency,
trade in goods,Organisation Of Markets,competition policy,Competition And Other Economic Provisions,
trade in goods,Price Band System,others,price band system,
trade in goods,Public Procurement,,,public procurement
trade in goods,Publication,trade facilitation,Transparency,
trade in goods,Quantitative Restrictions,other,Export Quotas,
trade in goods,Re-Export And Serious Shortage,other,Re-Exports,
trade in goods,Rules Of Competition Concerning Undertakings,,,
trade in goods,Rules Of Origin And Related Matters,,,rules of origin
trade in goods,Sanitary And Phytosanitary Measures,,,sanitary and phytosanitary measures
trade in goods,State Trading Enterprises,competition policy,State Enterprises,
trade in goods,Subsidies And Countervailing Measures,trade remedies,Subsidies And Countervailing Measures,
trade in goods,Sufficiently Worked or Processed Products,rules of origin,Sufficient Production,
trade in goods,Technical Barriers To Trade,,,technical barriers to trade
trade in goods,Technical Regulations,,,technical barriers to trade
trade in goods,Temporary Admission Of Goods,trade facilitation,Customs Processes,
trade in goods,Trade Facilitation,,,trade facilitation
trade in goods,Transparency,others,transparency,
trade in goods,Verification,others,transparency,
