,parameter,clause_id,chapter_cat,article_cat
0,-15501072284774.016,0,competition policy,Adverse Effects
1,13887835581.381193,1,competition policy,Anti-Competitive Practices
2,14532650403303.24,2,competition policy,Balance Of Payments Difficulties
3,-140972065.0844491,4,competition policy,Competition And Other Economic Provisions
4,-191184962064.0213,5,competition policy,Confidentiality
5,56693729610.1482,6,competition policy,Consultations
6,16569597793176.025,7,competition policy,Consultations When The Important Interests Of A Party Are Adversely Affected In The Territory Of The Other Party
7,4764324058081.98,8,competition policy,Consumer Protection
8,-133251242987.48213,9,competition policy,Cooperation
9,254393192203.00427,10,competition policy,Cooperation And Exchange Of Information
10,-83088598652.0216,11,competition policy,Cooperation On Controlling Anticompetitive Activities
11,13948546266467.945,12,competition policy,Courts And Administrative Bodies
12,4768511655313.6875,13,competition policy,Definition and Scope
13,1807855708099.761,14,competition policy,Definitions
14,-1896523759267.968,15,competition policy,Differences In Pricing
15,-188419427327.47855,16,competition policy,Dispute Settlement
16,9252183586943.336,17,competition policy,Domestic System Of State Aid Control
17,-1216588425.0993652,19,competition policy,Exceptions
18,-1989521421041.877,20,competition policy,Exchange Of Information And Enforcement Cooperation
19,109206309.34209065,21,competition policy,General Provisions
20,48995587291.22141,22,competition policy,Implementation
21,-35679203.11045714,23,competition policy,"Intellectual, Industrial And Commercial Property"
22,908517437236.6876,24,competition policy,Interpretation
23,-1007555686465.9513,25,competition policy,Non Application of Chapter Consultations and
24,-3536300161761.145,26,competition policy,Non Application of Dispute Settlement
25,6799039410326.888,27,competition policy,Non commercial Assistance
26,-827767308965.7208,28,competition policy,Non-Application Of Paragraph 1 Of Article 5 And Chapter 14
27,825381647126.6161,29,competition policy,Non-Discrimination
28,-7825264035921.672,30,competition policy,Notifications
29,80751303461.58257,31,competition policy,Objectives
30,-435169566252.44006,33,competition policy,Principles In Law Enforcement
31,8048639416832.312,34,competition policy,Private Rights Of Action6
32,55584125766.64687,35,competition policy,Public Contracts
33,-72800453151527.05,36,competition policy,Purposes And Principles Of The Regulation Of Financial Markets
34,63413636722.19862,37,competition policy,Relation With The Wto Agreement
35,110421004635.23953,38,competition policy,Review
36,-42568537309.60427,39,competition policy,Rules Of Competition Concerning Undertakings
37,90654711126973.2,40,competition policy,"Standardisation, Metrology, Accreditation And Conformity Assessment"
38,-1907827432787.9614,41,competition policy,State Enterprises
39,-2988543496716.489,42,competition policy,Subsidies
40,-9901522365638.375,43,competition policy,Supply Chains
41,-131343831178.02563,44,competition policy,Transparency
42,2190111899134.8308,45,competition policy,Transparency And Information Requests
43,-12812633036219.443,46,cooperation and integration,Advisory Opinions Of The Court
44,16877005518011.156,47,cooperation and integration,Agricultural Cooperation
45,-20657464009385.36,48,cooperation and integration,Agriculture And The Agro-Industrial Sector
46,529676658613877.75,49,cooperation and integration,Agro And Industrial Standards And Conformity Assessment
47,-121564325856425.36,50,cooperation and integration,Aims Of Political Dialogue
48,234006491.75186375,51,cooperation and integration,Appointments Within The Structural Subdivisions
49,-531462109708962.44,52,cooperation and integration,Approximation Of Laws
50,-54207260099515.336,53,cooperation and integration,Areas
51,-9639533430462.068,54,cooperation and integration,Areas Of Cooperation And Capacity Building
52,-117089239882262.42,55,cooperation and integration,Audit And Financial Control Cooperation
53,231329003078240.22,56,cooperation and integration,"Banking, Insurance And Other Financial Services"
54,-3081152286928.1196,57,cooperation and integration,Basic Principles
55,-44261257550274.984,58,cooperation and integration,Bodies Of The Eaeu
56,-6295560990495.326,59,cooperation and integration,Co-Operation Between Small And Medium-Sized Enterprises
57,-23176803067552.78,60,cooperation and integration,Combating Drugs And Drug Addiction
58,-6061967614490.303,61,cooperation and integration,Consultation
59,-106318467919270.17,62,cooperation and integration,Consumer Protection
60,93247658101.96344,63,cooperation and integration,Contact Points
61,4199140061784.743,64,cooperation and integration,Cooperation In Energy
62,-17469699.520391323,65,cooperation and integration,Cooperation In International Fora
63,-1500571094160.2688,66,cooperation and integration,Cooperation In Science And Technology
64,-6512740559651.313,68,cooperation and integration,"Cooperation In The Matter Of Transportation, Logistics, And Distribution"
65,-68191004102754.68,69,cooperation and integration,Cooperation In The Prevention And Control Of Illegal Immigration; Readmission
66,-10111591506111.541,70,cooperation and integration,Cooperation Regarding Environment And Natural Resources
67,-20032022512.7946,71,cooperation and integration,Costs Of Cooperation
68,27426995864899.17,72,cooperation and integration,Counsel To The Community
69,-15440081580917.146,73,cooperation and integration,Cultural Cooperation
70,-191381791290328.5,74,cooperation and integration,Customs
71,13202007171905.078,75,cooperation and integration,Customs Duties
72,2056481783525.8323,76,cooperation and integration,Definitions
73,-28563198851256.79,77,cooperation and integration,Deputy Secretaries General
74,-1636626486736.9692,78,cooperation and integration,Development Finance Cooperation In The Framework Of This Agreement
75,187236718822.76218,79,cooperation and integration,Dispute Settlement
76,-529114996508753.7,80,cooperation and integration,Domestic Electronic Transactions Framework and Electronic Contracts
77,1010934808946.4806,81,cooperation and integration,Domestic Reform
78,-377626040.3935941,82,cooperation and integration,Drugs
79,182653721232.76443,83,cooperation and integration,Economic Cooperation
80,-50685235723.7151,84,cooperation and integration,Economics
81,9407596502861.596,85,cooperation and integration,Education And Training
82,-18403244254607.94,86,cooperation and integration,Electronic Authentication
83,4433470386614.969,87,cooperation and integration,Elimination Of Non-Tariff Barriers On Common Market Goods
84,3384784373008.521,88,cooperation and integration,Energy
85,5413032597207.94,89,cooperation and integration,Energy And Mineral Resources Cooperation
86,18590498653910.348,90,cooperation and integration,Entry into Force
87,500863343939.8502,91,cooperation and integration,Environment
88,-20936807369768.51,92,cooperation and integration,Establishment And Composition Of Sectoral Committees
89,126292410333837.2,93,cooperation and integration,Establishment And Membership
90,30101945160737.867,94,cooperation and integration,Establishment Of A Customs Union
91,80412480116692.36,95,cooperation and integration,Fight Against Corruption
92,112146450536270.19,96,cooperation and integration,Fight Against Terrorism
