chapter_cat,article_cat,reassigned_artcat
competition policy,Implementation,
competition policy,Cooperation,Implementation
competition policy,Consultations,Implementation
competition policy,Objectives,
competition policy,Anti-Competitive Practices,
competition policy,Private Rights Of Action6,Dispute Settlement
competition policy,Transparency,
competition policy,Supply Chains,
competition policy,Consumer Protection,
competition policy,Dispute Settlement,
competition policy,Competition And Other Economic Provisions,
competition policy,Definitions,Transparency
competition policy,Non commercial Assistance,
competition policy,State Enterprises,
competition policy,Committee On Competitiveness And Business Facilitation,
competition policy,Public Contracts,
competition policy,Relation With The Wto Agreement,
competition policy,Subsidies,
competition policy,Differences In Pricing,
competition policy,Notifications,
competition policy,General Provisions,
competition policy,"Intellectual, Industrial And Commercial Property",
competition policy,Balance Of Payments Difficulties,
competition policy,Interpretation,Objectives
trade facilitation,Application of Information Technology,Automation
trade facilitation,Authorised Economic Operator System,Customs Processes
trade facilitation,Automation,
trade facilitation,Compensation For Loss Of Revenue,Custom Finances
trade facilitation,Confidentiality,
trade facilitation,Consultation,Cooperation
trade facilitation,Cooperation,
trade facilitation,Customs Clearance,Customs Processes
trade facilitation,Customs Valuation,Custom Finances
trade facilitation,Definitions,Transparency
trade facilitation,Express Shipments,Customs Processes
trade facilitation,Fees And Charges,Custom Finances
trade facilitation,FREEDOM OF TRANSIT,Customs Processes
trade facilitation,General Provisions,
trade facilitation,Implementation,Review
trade facilitation,Inward And Outward Processing,Customs Processes
trade facilitation,National Treatment On Internal Taxation And Regulation,Custom Finances
trade facilitation,Objectives,
trade facilitation,Origin Verifications,Customs Processes
trade facilitation,Paperless Trading,Automation
trade facilitation,Penalties,Custom Finances
trade facilitation,Post Clearance Audit,Custom Finances
trade facilitation,Pre Arrival Processing,Customs Processes
trade facilitation,Publication,Transparency
trade facilitation,Records,Transparency
trade facilitation,Regional Integration,
trade facilitation,Relations With The Business Community,Transparency
trade facilitation,Release Of Goods,Customs Processes
trade facilitation,Review,
trade facilitation,Risk Management,
trade facilitation,Special Provisions On Administrative Cooperation,Cooperation
