,text,label
0,Each Party shall apply and enforce its competition laws and regulations in a manner which does not discriminate on the basis of nationality.,1.0
1,"Each Party shall make public the grounds for any final decision or order to impose a sanction or remedy under its competition laws and regulations, and any appeal therefrom, subject to: (a) (i) its domestic laws and regulations; (ii) its need to safeguard confidential information; or iii) its need to safeguard information on grounds of public policy or public interest; and (b) redactions from the final decision or order on the grounds in any of subparagraphs (a)(i) to (iii).",1.0
2,"The Parties will apply their respective legislation referred to in paragraph 2 of Article 11.1 (Principles) in a transparent and nondiscriminatory manner, respecting the principles of procedural fairness and the rights of defence of the parties concerned, including the right of the parties concerned to be heard prior to the taking of a decision in a case. SECTION B PUBLIC UNDERTAKINGS, UNDERTAKINGS ENTRUSTED WITH SPECIAL OR EXCLUSIVE RIGHTS AND STATE MONOPOLIES",1.0
3,Each Party shall apply and enforce its competition laws and regulations in a manner that does not discriminate on the basis of nationality.,1.0
4,"Each Party shall make publicly available its competition laws and regulations, and any guidelines issued in relation to the 1 This Article is subject to: (a) Annex A (Application of Article .3 (Appropriate Measures against AntiCompetitive Activities) and Article .4 (Cooperation) to Brunei Darussalam); (b) Annex B (Application of Article .3 (Appropriate Measures against AntiCompetitive Activities) and Article .4 (Cooperation) to Cambodia); (c) Annex C (Application of Article .3 (Appropriate Measures against AntiCompetitive Activities) and Article .4 (Cooperation) to Lao PDR); and (d) Annex D (Application of Article .3 (Appropriate Measures against AntiCompetitive Activities) and Article .4 (Cooperation) to Myanmar). 2 Examples may include anticompetitive agreements, abuses of a dominant position, and anticompetitive mergers and acquisitions. 2 administration of such laws and regulations, except for internal operating procedures.",1.0
5,"Each Party shall make public the grounds for any final decision or order to impose a sanction or remedy under its competition laws and regulations, and any appeal therefrom, subject to: (a) (i) its laws and regulations; (ii) its need to safeguard confidential information; or (iii) its need to safeguard information on grounds of public policy or public interest; and (b) redactions from the final decision or order on any of the grounds referred to in subparagraphs (a)(i) through (iii).",1.0
6,"Each Party shall ensure that before a sanction or remedy is imposed on any person or entity for breaching its competition laws or regulations, such person or entity is given the reasons, which should be in writing where possible, for the allegations that the Partys competition laws or regulations have been breached, and a fair opportunity to be heard and to present evidence.",1.0
8,Each Party shall ensure that any person or entity subject to the imposition of a sanction or remedy under its competition laws and regulations has access to an independent review of or appeal against that sanction or remedy.,1.0
10,"Each Party shall ensure that the measures referred to in paragraph  1, and the actions it takes pursuant to those measures, are applied on  a nondiscriminatory basis",1.0
12,"The Parties shall maintain an authority or authorities responsible  for, and appropriately equipped for, the implementation of the  competition laws set out in Article 11.2",1.0
13,"Upon request of a Party, the other Party shall make available to  the requesting Party public information concerning its competition law  enforcement activities and legislation related to the obligations  covered by this Section",1.0
15,"The Parties and the Signatory CARIFORUM States shall ensure that  within five years of the entry into force of this Agreement they have  laws in force addressing restrictions on competition within their  jurisdiction, and have established the bodies referred to in Article  125(1)",1.0
16,"Upon entry into force of the laws and the establishment of the  bodies referred to in paragraph 1, the Parties shall give effect to  the provisions of Article 128. The Parties also agree to review the  operation of this Chapter after a confidencebuilding period between  their Competition Authorities of six years following the coming into  operation of Article 128",1.0
17,"Each Party shall provide any person subject to the imposition of a sanction or remedy for violation of its competition laws with the opportunity to be heard and to present evidence, and to seek review of the sanction or remedy in a court of that Party",1.0
18,"The enforcement policy of the Parties’ competition authorities shall be consistent with the principles of transparency, timeliness, nondiscrimination, and procedural fairness. Particularly, regarding transparency, each Party shall make available to the other Party information on exemptions provided for in its competition laws",1.0
20,"The Parties shall adopt or maintain in force comprehensive  competition laws which effectively address the anticompetitive  practices referred to in Article 278, paragraph 2(a) to (c). The  Parties shall establish or maintain Competition Authorities designated  and appropriately equipped for the transparent and effective  implementation of the competition laws",1.0
22,"If, at the moment of entry into force of this Agreement, a Republic  of the CA Party has not yet adopted a competition law as referred to  in Article 277, paragraph 1(c) nor designated a competition authority  as referred to in Article 277, paragraph 2(c), it shall do so within a  period of three years",1.0
23,"The Parties shall maintain authorities responsible, and appropriately equipped, for the effective enforcement of the competition laws set out in paragraph 1 of this Article",1.0
25,"Upon request of a Party, each Party shall make available to the other Party public information concerning enforcement activities of its competition laws and legislation related to the obligations covered by this Section",1.0
26,The competition authority shall adopt and publish a document explaining the principles to be used in the setting of any pecuniary sanctions imposed for infringements of the competition laws,1.0
30,Each Party shall ensure that all official decisions by its competition authorities finding a violation of its competition laws are in writing and set out any relevant findings of fact and the reasoning and legal analysis on which the decisions are based. Each Party shall further ensure that the decisions are notified to the persons concerned. The version of the decisions may omit business confidential information that is protected by its domestic laws and regulations from public disclosure,1.0
31,"Upon request of the other Party, a Party shall make available to the requesting Party public information concerning the enforcement policies and practices of its competition laws",1.0
