,text,catlabel_x,area,catlabel_y
0,chapter 15 competition,competition,competition,8
1,15.1: purpose and definitions,competition,competition,8
2,the purpose of this chapter is to contribute to the fulfillment of the objectives of this agreement through the promotion of fair competition and the curtailment of anti- competitive practices.,competition,competition,8
3,"for the purposes of this chapter, anti-competitive practices means business conduct or transactions that adversely affect competition, such as: (a) anti-competitive horizontal arrangements between competitors; (b) misuse of market power; (c) anti-competitive vertical arrangements between businesses; and (d) anti-competitive mergers and acquisitions.",competition,competition,8
4,15.2: promotion of competition,competition,competition,8
5,"each party shall promote competition by addressing anti-competitive practices in its territory, adopting and enforcing such means or measures as it deems appropriate and effective to counter such practices.",competition,competition,8
6,such means and measures may include the implementation of competition and regulatory arrangements.,competition,competition,8
7,15.3: application of competition laws,competition,competition,8
8,the parties shall ensure that all businesses registered or incorporated under their respective domestic laws are subject to such generic or relevant sectoral competition laws as may be in force in their respective territories,competition,competition,8
9,"any measures taken by a party to proscribe anti-competitive practices, and the enforcement actions taken pursuant to those measures, shall be consistent with the principles of transparency, timeliness, non-discrimination and procedural fairness.",competition,competition,8
10,15.4: competitive neutrality,competition,competition,8
11,each party shall take reasonable measures to ensure that its government does not provide any competitive advantage to any government-owned businesses in their business activities simply because they are government-owned.,competition,competition,8
12,this article applies to the business activities of government-owned businesses and not to their non-business and non-commercial activities.,competition,competition,8
13,15.5: consultations,competition,competition,8
14,"at the request of a party, the parties shall enter into consultations regarding matters that may arise under this chapter, including the elimination of particular anti- competitive practices that affect trade or investment between the parties.",competition,competition,8
15,"during the consultations under this article, each party shall endeavour to provide relevant information to the other party in order to facilitate the discussion regarding the relevant aspects of the matter which is the subject of consultations.",competition,competition,8
16,any information or documents exchanged between the parties in relation to any mutual consultations under this chapter shall be kept confidential.,competition,competition,8
17,15.6: co-operation,competition,competition,8
18,the parties recognise the importance of co-operation and co-ordination between their competition authorities for effective competition law enforcement in both parties.,competition,competition,8
19,"within six (6) months from the coming into effect of a generic competition law in singapore, the parties shall consult with a view to making a separate arrangement between their competition authorities regarding the scope and content of co-operation and co-ordination.",competition,competition,8
20,"15.7: transparency the parties shall publish or otherwise make publicly available their laws addressing fair competition, including information on any exemptions provided under such laws.",competition,competition,8
21,15.8: dispute resolution,competition,competition,8
22,"nothing in this chapter permits a party to re-open, re-examine or to challenge under any dispute settlement procedure under this agreement, any finding, determination or decision made by a competition authority of the other party in enforcing the applicable competition laws and regulations.",competition,competition,8
23,neither party shall have recourse to any dispute settlement procedures under this agreement for any issue arising from or relating to this chapter.,competition,competition,8
24,"in the event of any inconsistency or conflict between any provision in this chapter and any provision contained in any other chapter of this agreement, the latter shall prevail to the extent of such inconsistency or conflict.",competition,competition,8
25,chapter 14 electronic commerce,e-commerce,e-commerce,14
26,"14.1 : definitions for the purposes of this chapter: digital products means computer programmes, text, video, images, sound recordings and other product that are digitally encoded, regardless of whether they are fixed on a carrier medium or transmitted electronically14-1; carrier medium means any physical object capable of storing a digital product by any method now known or later developed, and from which a digital product can be perceived, reproduced, or communicated, directly or indirectly, and includes, but is not limited to, an optical medium, a floppy disk, or a magnetic tape; electronic transmission or transmitted electronically means the transfer of digital products using any electromagnetic or photonic means; and using electronic means employing computer and digital processing.",e-commerce,e-commerce,14
27,14.2 : scope,e-commerce,e-commerce,14
28,the parties recognise the economic growth and opportunity provided by electronic commerce the importance of avoiding unnecessary barriers to electronic commerce and the applicability of wto rules to electronic commerce.,e-commerce,e-commerce,14
29,"this chapter does not apply to measures affecting the electronic transmission of a series of text, video, images, sound recordings, and other products scheduled by a content provider for aural and/or visual reception, and for which the content consumer has no choice over the scheduling of the series. 14-1 for greater clarity, digital products do not include digitised representations of financial instruments.",e-commerce,e-commerce,14
30,"14.3 : electronic supply of services for greater certainty, the parties affirm that measures related to the supply of a service using electronic means fall within the scope of the obligations contained in the relevant provisions of chapters 9 (cross-border trade in services), 10 (investment) and 12 (financial services), and, subject to any exceptions applicable to such obligations and except where an obligation does not apply to any such measure pursuant to articles",e-commerce,e-commerce,14
31,6 and 10,e-commerce,e-commerce,14
32,,e-commerce,e-commerce,14
33,14.4 : digital products,e-commerce,e-commerce,14
34,"each party shall not apply customs duties or other duties, fees, or charges on or in connection with the importation or exportation of a digital product of the other party by electronic transmission14-2.",e-commerce,e-commerce,14
35,each party shall determine the customs value of an imported carrier medium bearing a digital product in accordance with the customs valuation agreement.,e-commerce,e-commerce,14
36,"a party shall not accord less favourable treatment to a digital product than it accords to other like digital products: (a) on the basis that: (i) the digital product receiving less favourable treatment is created, produced, published, stored, transmitted, contracted for, commissioned, or first made available on commercial terms in the territory of the other party; or (ii) the author, performer, producer, developer, or distributor of such digital product is a person of the other party, or 14-2 paragraph 1 does not preclude a party from imposing internal taxes or other internal charges provided that these are imposed in a manner consistent with this agreement. (b) so as otherwise to afford protection to the other like digital products that are created, produced, published, stored, transmitted, contracted for, commissioned, or first made available on commercial terms, in its territory.",e-commerce,e-commerce,14
37,paragraph 3 does not apply to any non-conforming measure described in articles,e-commerce,e-commerce,14
38,6 and 10,e-commerce,e-commerce,14
39,,e-commerce,e-commerce,14
40,chapter 17 intellectual property rights,intellectual property rights,intellectual property rights,5
41,"17.1 : definition for the purposes of this chapter: intellectual property rights refer to copyright and related rights, trademarks, geographical indications, industrial designs, patents, layout-designs (topographies) of integrated circuits and rights in undisclosed information; trips agreement means the wto agreement on trade-related aspects of intellectual property rights; pct means the patent cooperation treaty administered by the world intellectual property organization; isa and ipea means the international searching authority and the international preliminary examining authority, respectively, under the pct; ipos means the intellectual property office of singapore; and kipo means the korean intellectual property office.",intellectual property rights,intellectual property rights,5
42,"17.2 : general obligations each party re-affirms its obligations under the trips agreement, and, in accordance with the trips agreement, shall provide adequate and effective protection of intellectual property rights to the nationals of the other party in its territory.",intellectual property rights,intellectual property rights,5
43,"17.3 : enforcement the parties shall, consistent with the trips agreement, provide for the enforcement of intellectual property rights in their respective laws.",intellectual property rights,intellectual property rights,5
44,"17.4 : more extensive protection each party may implement in its domestic laws more extensive protection of intellectual property rights than is required under this agreement, provided that such protection is not inconsistent with this agreement and the trips agreement.",intellectual property rights,intellectual property rights,5
45,17.5 : co-operation in the field of intellectual property,intellectual property rights,intellectual property rights,5
46,"the parties, recognising the growing importance of intellectual property rights as a factor of social, economic and cultural development, shall enhance their co-operation in the field of intellectual property.",intellectual property rights,intellectual property rights,5
47,"the parties, pursuant to paragraph 1, may co-operate in the following areas: (a) international search and international preliminary examination under pct and facilitation of international patenting process; (b) promotion of mutual understanding of the other party's intellectual property policies, activities, and experiences thereof; (c) promotion of education and awareness of intellectual property; (d) patent technology, licensing, and market intelligence; and (e) plant variety protection including exchange of technical expertise and knowledge.",intellectual property rights,intellectual property rights,5
48,17.6 : designation of kipo as an isa and ipea under pct,intellectual property rights,intellectual property rights,5
49,singapore shall designate kipo as an isa and ipea under the pct for international applications received by ipos insofar as these applications are submitted in the english language.,intellectual property rights,intellectual property rights,5
50,"within three (3) months from the date of the signature of this agreement, kipo and ipos shall conclude a working agreement for the detailed procedures in relation to the designation of kipo as an isa and ipea as mentioned in paragraph 1.",intellectual property rights,intellectual property rights,5
51,"17.7 : facilitation of patenting process singapore shall designate kipo as a prescribed patent office in accordance with the patents act (cap. 221) of singapore and the regulations made thereunder for the purpose of facilitating the patent process of a patent application filed in singapore that corresponds to a patent application filed in korea, where the applicant for that patent application filed in singapore provides ipos with the necessary information, documents and translation on that corresponding application filed in korea, as required by the patents act and the regulations thereunder.",intellectual property rights,intellectual property rights,5
52,"17.8 : promotion of education and awareness of intellectual property the parties may jointly undertake education, workshops, and fairs in the field of intellectual property for the purposes of contributing to a better understanding of each other's intellectual property policies and experiences.",intellectual property rights,intellectual property rights,5
53,17.9 : joint committee on intellectual property,intellectual property rights,intellectual property rights,5
54,"for the purpose of effective implementation of this chapter, a joint committee on intellectual property (the ip joint committee) shall be established. the functions of the ip joint committee may include: (a) overseeing and reviewing the parties' co-operation under this chapter; (b) providing advice with regard to the parties' co-operation under this chapter; (c) considering and recommending new areas of co-operation on matters covered by this chapter; and (d) discussing other issues related to intellectual property.",intellectual property rights,intellectual property rights,5
55,"the ip joint committee shall be co-chaired by senior officials from both kipo and ipos. the composition of the ip joint committee shall be decided in consultation with the co-chairs, subject to mutual agreement between the parties. the ip joint committee may meet at the same time as when the parties meet for the review under",intellectual property rights,intellectual property rights,5
56,22,intellectual property rights,intellectual property rights,5
57,,intellectual property rights,intellectual property rights,5
58,chapter 10 investment section a  definitions,investment,investment,3
59,"10.1: definitions for the purposes of this chapter: disputing investor means an investor that makes a claim under section c; disputing party means a party against which a claim is made under section c; freely usable currency means freely usable currency as determined by the international monetary fund under its articles of agreement and any amendments thereto; investment means every kind of asset that an investor owns or controls, directly or indirectly, and that has the characteristics of an investment, such as the commitment of capital or other resources, the expectation of gains or profits or the assumption of risk10-",investment,investment,3
60,"forms that an investment may take include, but are not limited to10-2: 10-1 for clarification, investment does not mean, (a) claims to money that arise solely from: (i) commercial contracts for the sale of goods or services by a national or enterprise in the territory of a party to an enterprise in the territory of the other party, (ii) the extension of credit in connection with a commercial transaction, such as trade financing, and (b) an order entered in a judicial or administrative action and do not involve the kinds of interests set out in subparagraphs (a) to (h). 10-2 for the purpose of this chapter, loans and other debt instruments described in paragraph (c) and claims to money and claims to any performance under contract described in paragraph (f) of article",investment,investment,3
