,chapter,label
0,General Provisions,0
1,Trade In Goods,1
2,Rules Of Origin,2
3,Customs Procedures,2
4,Paperless Trading,-1
5,Mutual Recognition,-1
6,Trade In Services,2
7,Investment,2
8,Movement Of Natural Persons,-1
9,Intellectual Property,3
10,Government Procurement,2
11,Competition,8
12,Cooperation,2
13,Dispute Settlement,4
14,Final Provisions,0
15,"Objectives, Establishment Of A Free Trade Area And Definitions",5
16,Sanitary And Phytosanitary Measures,6
17,Technical Barriers To Trade,7
18,Competition Policy,8
19,Cross Border Trade In Services,-1
20,Financial Services,-1
21,Telecommunications,-1
22,Electronic Commerce,2
23,Transparency,-1
24,Strategic Partnership,-1
25,Administration Of The Agreement,-1
26,General And Final Provisions,0
27,Objectives,9
28,General Definitions,-1
29,National Treatment And Market Access For Goods,-1
30,Emergency Action,-1
31,Cross-Border Trade In Services,-1
32,"Competition Policy, Monopolies And State Enterprises",13
33,Temporary Entry For Business Persons,-1
34,"Publication, Notification And Administration Of Laws",-1
35,Anti-Dumping And Countervailing Duty Matters,-1
36,Institutional Arrangements And Dispute Settlement Procedures,4
37,Exceptions,-1
38,Economic Cooperation And Social Development,2
39,Tariff Elimination And Related Matters,-1
40,National Treatment And Other Border Measures,-1
41,Administrative And Institutional Provisions,0
42,Further Elaboration,-1
43,Agriculture And Fisheries,10
44,Common Provisions,0
45,"Approximation Of Laws, Law Enforcement And Competition Rules",-1
46,Introduction,-1
47,Cooperation In The Area Of Movement Of Persons,-1
48,"Cooperation On Combating Money Laundering, Terrorism Financing, Illicit Drugs And Cooperation In Counter-Terrorism",-1
49,Cooperation In Criminal Matters,-1
50,Cooperation Policies,2
51,"Institutional, General And Final Provisions",0
52,The Common Market For Eastern And Southern Africa,-1
53,Interpretation,-1
54,Aims And Objectives,9
55,Organs Of The Common Market,-1
56,The Court Of Justice,-1
57,Co-Operation In Trade Liberalisation And Development,-1
58,Common Market Customs Co-Operation,-1
59,Re-Exportation Of Goods,-1
60,Simplification And Harmonisation Of Trade Documents And Procedures,-1
61,Monetary And Financial Co-Operation,2
62,Co-Operation In The Development Of Transport And Communications,-1
63,Co-Operation In Industrial Development,2
64,Co-Operation In The Development Of Energy,-1
65,Co-Operation In Health Matters,-1
66,Standardisation And Quality Assurance,-1
67,"Co-Operation In The Development Of Natural Resources, Environment And Wildlife",-1
68,Co-Operation In The Development Of Science And Technology,-1
69,Co-Operation In Agriculture And Rural Development,-1
70,Co-Operation In Tourism,-1
71,Development Of Comprehensive Information Systems,-1
72,Social And Cultural Affairs,-1
73,Least Developed Countries And Economically Depressed Areas,-1
74,Development Of The Private Sector,-1
