,term,cumulative_delta,p_cumdelta,lag_1,p_lagone,lag_2,p_lagtwo,cumulative,p_delta
0,competition.policy_Anti.Competitive.Practices_cumulative,0.051111909,3.59E-09,0.024038573,5.68E-05,0.022494943,0.000361749,0.01528231,0.00232778
1,competition.policy_Balance.Of.Payments.Difficulties_cumulative,0.378296618,0.016065571,-0.016081784,0.700065698,-0.009564514,0.827913623,-0.002605337,0.928628336
2,competition.policy_Committee.On.Competitiveness.And.Business.Facilitation_cumulative,-0.039800974,0.000122384,-0.031466919,0.443592187,,,0.021619324,0.511726238
3,competition.policy_Competition.And.Other.Economic.Provisions_cumulative,-0.001224589,0.723566119,0.012134744,0.133552017,0.007093977,0.381529704,0.00526116,0.308670413
4,competition.policy_Consumer.Protection_cumulative,-0.009398131,0.504378929,0.035685563,0.013051847,0.043676919,0.001950024,0.020622813,0.11061821
5,competition.policy_Differences.In.Pricing_cumulative,0.051893163,0.319261418,0.033963722,0.258245963,0.03485185,0.255888212,0.037933185,0.175824181
6,competition.policy_Dispute.Settlement_cumulative,-0.016137497,0.143268296,-0.018912844,0.23448782,-0.006818177,0.653324704,-0.020633918,0.104184772
7,competition.policy_General.Provisions_cumulative,0.027847087,0.000273583,0.014486403,0.108117067,0.009839204,0.277226543,-0.000880706,0.90281505
8,competition.policy_Implementation_cumulative,-0.015625808,2.27E-11,-0.01084665,1.88E-06,-0.011827741,1.95E-07,-0.005611827,0.001665122
9,competition.policy_Intellectual..Industrial.And.Commercial.Property_cumulative,0.005142479,0.590653867,-0.023006663,0.095790152,-0.018052441,0.198573163,-0.007191174,0.391281655
10,competition.policy_Non.commercial.Assistance_cumulative,0.028066599,1.29E-05,0.028225788,4.96E-06,0.023982536,0.000112653,0.022042463,8.61E-05
11,competition.policy_Notifications_cumulative,-0.016610037,0.02789827,-0.003287139,0.785806286,-0.002545268,0.858514748,0.003716109,0.673436388
12,competition.policy_Objectives_cumulative,0.001480597,0.424703943,0.021689504,0.190673649,0.014403684,0.39750529,0.001711046,0.41281259
13,competition.policy_Public.Contracts_cumulative,-0.000415636,0.814399938,-0.003398097,0.171739341,-0.000823653,0.734955193,-0.003277571,0.086183037
14,competition.policy_Relation.With.The.Wto.Agreement_cumulative,0.549548967,0.004918379,0.189864941,0.008954986,0.215436808,0.00254561,0.110951523,0.005760504
15,competition.policy_State.Enterprises_cumulative,-0.0018958,0.586632528,-0.018975272,0.023481739,-0.015866728,0.059903834,-0.006553823,0.114394876
16,competition.policy_Subsidies_cumulative,-0.139256795,0.00496559,0.010638783,0.659074123,0.003637363,0.887791552,-0.004064654,0.62750972
17,competition.policy_Supply.Chains_cumulative,-8.8985E-05,0.994546879,-0.038094001,0.112404745,-0.010423597,0.65146161,-0.034794737,0.040473593
18,competition.policy_Transparency_cumulative,0.011083156,0.124549018,0.0018127,0.683167547,0.000605958,0.902450402,0.001853588,0.623487741
19,competition.policy_Anti.Competitive.Practices_delta,0.11107196,0.03000694,,,,,,
20,competition.policy_Competition.And.Other.Economic.Provisions_delta,-0.014302929,0.782411485,,,,,,
21,competition.policy_Consumer.Protection_delta,-0.9879378,8.80E-05,,,,,,
22,competition.policy_Differences.In.Pricing_delta,5.507028333,0.00070502,,,,,,
23,competition.policy_Dispute.Settlement_delta,0.162850786,0.078285328,,,,,,
24,competition.policy_General.Provisions_delta,1.378081717,0.000973926,,,,,,
25,competition.policy_Implementation_delta,0.034787276,0.019247347,,,,,,
26,competition.policy_Non.commercial.Assistance_delta,-0.158565158,0.005157778,,,,,,
27,competition.policy_Objectives_delta,-1.550105359,0.006871001,,,,,,
28,competition.policy_State.Enterprises_delta,-0.201939657,0.027358631,,,,,,
29,competition.policy_Supply.Chains_delta,-0.365713904,0.006106181,,,,,,
30,competition.policy_Transparency_delta,0.286348181,0.0033163,,,,,,
31,e.commerce_CYBER.SECURITY_cumulative,-0.102142402,2.81E-07,-0.006655036,0.330589043,-0.012543617,0.150375581,-0.014672303,0.008780758
32,e.commerce_Cooperation_cumulative,-0.024743507,0.047914846,-0.023540579,0.072827882,-0.00901519,0.543200551,-0.014135197,0.175852382
33,e.commerce_Cross.Border.Transfer.of.Information.by.Electronic.Means_cumulative,-0.03580165,0.362173022,0.066640296,0.029417837,0.100238521,0.021763489,0.091196509,0.000336934
34,e.commerce_Customs.Duties_cumulative,0.037498733,0.053064935,0.148801221,5.77E-06,0.157652478,9.91E-05,0.143334305,8.28E-06
35,e.commerce_Digital.Products_cumulative,0.013897781,0.280751138,0.032058314,2.55E-06,0.031105759,5.75E-06,0.016651252,0.003632793
36,e.commerce_Dispute.Settlement_cumulative,-0.013608489,0.560001371,-0.043046275,0.261417642,-0.092573566,0.108817731,-0.114047004,0.000265882
37,e.commerce_Domestic.Regulatory.Frameworks_cumulative,0.114810022,3.17E-06,0.074390099,0.031426471,0.085405216,0.016012975,0.032745902,0.228090719
38,e.commerce_General_cumulative,-0.025217669,0.001063064,-0.057560557,9.26E-06,-0.063122997,4.08E-05,-0.043030697,0.000432375
39,e.commerce_Location.of.Computing.Facilities_cumulative,0.158900449,0.00891759,-0.045373608,0.581537633,-0.132024199,0.232698038,0.027819573,0.71521043
40,e.commerce_Paperless.Trading_cumulative,0.011825983,0.00136637,-0.009966244,0.101981605,-0.009104516,0.170974528,-0.002850845,0.572160867
41,e.commerce_Scope_cumulative,0.025321801,0.01778048,0.020550937,0.000335535,0.01503097,0.012798322,0.014565064,0.00108718
42,e.commerce_Transparency_cumulative,0.047809508,0.006594099,-0.052865855,0.060093614,-0.062530969,0.039542979,0.005441927,0.784607612
43,e.commerce_CYBER.SECURITY_delta,7.20401925,0.000123437,,,,,,
44,e.commerce_Cooperation_delta,6.569078267,0.99997389,,,,,,
45,e.commerce_Cross.Border.Transfer.of.Information.by.Electronic.Means_delta,-2.22811758,0.999287476,,,,,,
46,e.commerce_Customs.Duties_delta,4.719852412,0.99961801,,,,,,
47,e.commerce_Digital.Products_delta,0.016831782,0.410132002,,,,,,
48,e.commerce_Dispute.Settlement_delta,1.059248984,0.999972936,,,,,,
49,e.commerce_Domestic.Regulatory.Frameworks_delta,-21.85671801,0.999113254,,,,,,
50,e.commerce_General_delta,-2.633889905,5.28E-13,,,,,,
51,e.commerce_Paperless.Trading_delta,-0.261295793,0.995064066,,,,,,
52,intellectual.property.rights_Border.Measures_cumulative,0.023830338,0.001216717,0.022326532,1.52E-05,0.020716576,0.000363641,0.014291509,1.04E-05
53,intellectual.property.rights_Consultations_cumulative,0.005000372,0.512219325,-0.01532209,2.88E-05,-0.015640238,3.50E-05,-0.000720172,0.747377168
54,intellectual.property.rights_Copyright.And.Related.Rights_cumulative,0.004941421,0.284190307,0.006618776,0.11942875,0.003330606,0.524799755,0.012851896,0.000116377
55,intellectual.property.rights_Damages_cumulative,-0.023480553,0.000261473,-0.018928334,0.10086504,-0.017757466,0.160010229,0.005147116,0.603617751
56,intellectual.property.rights_Dispute.Settlement_cumulative,0.022377256,4.17E-08,0.03681405,4.49E-06,0.037807806,0.000119536,0.011937431,0.060520343
57,intellectual.property.rights_Distribution.Right_cumulative,-0.037214492,0.26822535,-0.007418982,0.913244499,0.062767354,0.513399968,-0.010635178,0.838694008
58,intellectual.property.rights_Facilitation.of.Patenting.Process_cumulative,-0.105178093,0.010949844,0.141446977,0.015394718,0.141304974,0.018780187,0.181892526,0.001350525
59,intellectual.property.rights_Geographical.Indications_cumulative,-0.00273834,1.00E-05,-0.002120044,0.090141907,-0.002611832,0.057310181,-0.00357483,0.00040748
60,intellectual.property.rights_Intellectual.Property.Rights_cumulative,0.003429381,0.189564139,0.015603921,0.00038434,0.014235977,0.003169638,0.008609391,0.000730576
